T (K) rhol (kg/m3) rhov (kg/m3) P (bar) DeltaHv (kJ/mol)
560.0	426.471808046	98.6421727118	23.0306949969	14.7584236105
550.0	452.255872297	80.6336264559	20.1956941773	17.0964430866
540.0	473.193067886	67.1056513345	17.6510710628	18.9772168059
530.0	490.583908033	56.5240960891	15.3937514797	20.5218779098
520.0	505.791788754	47.7430887769	13.2865869085	21.8524210353
510.0	520.270759679	40.4808494493	11.5381441978	23.0927389735
500.0	534.13106616	34.244938549	9.92270678188	24.2473722022
490.0	546.974157288	28.872790221	8.40392606427	25.2836260244
480.0	558.802586691	24.2849833516	7.08146428481	26.2298048845
470.0	570.245476933	20.3547644434	5.95592229107	27.1373583213
460.0	581.453612987	16.9567482868	4.93927405791	27.9886982678
450.0	592.049024713	14.0382443657	4.10091464635	28.8158259028
440.0	602.060395526	11.5335525456	3.38643730708	29.6092552363
430.0	612.247055348	9.38217206932	2.6584336723	30.2746090197
420.0	622.749467295	7.56965618536	2.10905190947	31.0102804782
410.0	632.87822726	6.05186308631	1.72393110296	31.8378917136
400.0	642.399714334	4.78236756151	1.36102960149	32.5521322034
390.0	651.594950341	3.73190950043	1.03560216072	33.1665886215
