T (K) Neffliq Neffvap Percentliq Percentvap Ratioliq Ratiovap
410.0	78782.0266577	161784.36222	9.66887906943	35.1552286441	92.4830301302	110.365737997
400.0	97171.8672576	215210.901091	11.9258550881	46.7646460432	94.6082530299	109.978972212
390.0	133733.872461	274136.807426	16.4130918582	59.5690585454	92.5700543082	107.414665207
380.0	167877.286109	319977.07212	20.603496086	69.5300026336	86.6928841134	104.035008584
370.0	176821.991031	342375.055316	21.7012752861	74.3970133238	81.6938910629	101.300640671
360.0	166724.617591	338917.582369	20.4620296503	73.6457154214	77.9474329184	98.9047945426
350.0	156265.374202	306897.304822	19.1783718952	66.6878106958	75.4193597971	96.2111353496
340.0	155538.959933	249288.234106	19.0892194321	54.1695423959	74.0629640772	93.3441127417
330.0	151791.662536	181340.274872	18.6293154806	39.4046664215	71.3075126483	90.9960993945
320.0	129153.885168	121216.45578	15.8509922886	26.3399512777	65.9648554307	89.685621863
310.0	94530.5359699	77526.7247913	11.6016858088	16.846311341	61.0547975784	89.4616036162
300.0	77209.0795497	49319.8475677	9.47583205077	10.7170464076	59.6174569489	90.0808609256
290.0	72259.4474695	32165.935794	8.86836615973	6.98955580052	56.1484358961	91.2383330839
280.0	50411.3668528	21972.7486597	6.18696205852	4.77460857446	48.7238654697	92.6621558031
