T (K) rhol (kg/m3) rhov (kg/m3) P (bar) DeltaHv (kJ/mol)
480.0	409.941312732	88.0062209401	23.6770464421	12.8894505938
470.0	436.466709996	71.6048302569	20.365490479	14.7973244551
460.0	458.984242756	58.1487278274	17.4156228175	16.5148271047
450.0	477.978274019	47.5339544959	14.8071121968	17.9904730638
440.0	494.676127986	39.083233259	12.5073057198	19.2640011705
430.0	509.848278084	32.1958157922	10.4863852689	20.3883336204
420.0	523.774269478	26.4814459657	8.71821192798	21.3961261939
410.0	536.643376587	21.6961525525	7.18175103037	22.3089164259
400.0	548.813509436	17.6734783948	5.85602115888	23.1504220746
390.0	560.727730051	14.2898545628	4.72227424454	23.9468519591
380.0	572.395025824	11.4487507129	3.76021825205	24.7022161648
370.0	583.193872341	9.07543378181	2.95354239176	25.3918946047
360.0	592.902661018	7.10895894431	2.28654406674	26.0107833083
350.0	602.417843637	5.49428658853	1.74188035091	26.6054094122
340.0	612.716253813	4.18049815267	1.30262090932	27.2247882553
330.0	623.024273788	3.12374078501	0.955117735229	27.8398622033
320.0	631.50494707	2.28756717388	0.684359296312	28.3697584624
