T (K) Neffliq Neffvap Percentliq Percentvap Ratioliq Ratiovap
530.0	72102.0309542	50332.4918577	8.61063711596	11.5008892829	57.4524069059	92.0748156309
520.0	70128.3794237	70718.9637325	8.37493783124	16.1591636351	49.110295308	87.9937788772
510.0	76836.8372792	118820.673131	9.17608164699	27.150322898	45.6792050094	87.562352874
500.0	77425.8415007	188023.03839	9.24642226768	42.9629463464	43.9053361744	92.4765410803
490.0	69883.248092	228753.432641	8.34566352489	52.2697725621	39.6079023087	98.5221977977
480.0	62843.5385542	226334.812697	7.50496065661	51.7171219947	36.7852561011	100.976307511
470.0	51062.4224099	214385.881654	6.09802503223	48.9868114556	33.9614210972	100.567292634
460.0	41171.0988737	212495.997927	4.91677401282	48.5549762195	29.3639435696	99.3524470062
450.0	37293.8764018	222257.072458	4.45374467395	50.785365245	25.1409277616	98.7161528848
440.0	32775.4326793	233858.936885	3.91413880282	53.436371649	24.6154714728	99.5701545182
430.0	24415.3054098	228455.372062	2.91574775602	52.2016662239	20.1808325471	102.231628117
420.0	21382.9726418	193713.889142	2.5536176366	44.2632961205	16.6759888324	105.660236305
410.0	16979.919494	141495.382946	2.0277920481	32.3314557503	14.5234287854	108.36833254
400.0	10653.5145652	92978.9508838	1.27227411929	21.24553306	10.8969735449	109.859808814
390.0	7676.06164283	58023.0703231	0.916697912825	13.2581734584	7.63570925003	110.323886841
380.0	4710.8480982	35895.4865699	0.562583368945	8.20205798599	5.06064665978	109.947176177
370.0	2494.35641478	22700.4139159	0.297883397199	5.18700619594	3.8203119167	108.94632932
