T (K) Neffliq Neffvap Percentliq Percentvap Ratioliq Ratiovap
470.0	102926.433271	77112.0607607	12.5605053751	16.9270583707	97.4648445097	103.568415137
460.0	120871.551973	91076.2872136	14.7504166811	19.9923801108	97.3458250922	108.299415515
450.0	147506.847232	123591.768253	18.0008233905	27.1299334334	95.7281012352	113.546378725
440.0	164662.002442	180686.794527	20.0943324374	39.6630032657	90.3627302842	114.810031132
430.0	170898.660496	253275.533869	20.8554156162	55.5971362116	88.4127091387	111.251881066
420.0	185602.23839	314132.708111	22.6497493292	68.9560444098	88.8149279442	106.008053938
410.0	202403.367241	343922.548638	24.7000551887	75.4952856708	86.5711308151	101.824414448
400.0	205340.960415	338923.129795	25.0585408923	74.397850928	83.1487928347	98.4722872904
390.0	196896.960739	299435.212492	24.0280873932	65.7297609491	80.7592220394	95.0588020943
380.0	184465.733616	233712.107957	22.5110573152	51.3027204084	78.6642774458	91.628324382
370.0	170874.843032	161710.138687	20.8525090802	35.4973908062	75.9176909722	88.8796692594
360.0	155242.439488	102172.266476	18.9448272292	22.4280858461	72.996641147	87.3208997297
350.0	142146.272201	61500.4985582	17.3466519658	13.5001259032	70.8098280277	86.9572810565
340.0	121505.695001	36730.3055644	14.8278035745	8.06275983458	67.0288041722	87.521620331
330.0	70583.1690466	22493.2878591	8.6135334338	4.93755701487	57.2843044307	88.7216486088
320.0	13599.3470026	14449.7693211	1.65958020399	3.17190445085	55.6633340849	90.3073091085
310.0	1593.5579258	9866.9866359	0.194467954018	2.16592653706	75.4979877931	92.0630469175
