Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
310	633.357419	2.26989799	0.658933443	27.13833674
320	623.554108	3.11229799	0.924322499	26.57736084
330	613.521781	4.1786277	1.26622727	25.99638338
340	603.225905	5.50801584	1.69819989	25.39181737
350	592.626246	7.1445353	2.23463312	24.75971051
360	581.675285	9.13855786	2.89069605	24.09563498
370	570.316109	11.5487192	3.68230042	23.3945335
380	558.479535	14.4447584	4.6261065	22.65050216
390	546.080102	17.9116653	5.73957878	21.85648197
400	533.010317	22.0558627	7.04110483	21.00381151
410	519.132107	27.0147023	8.55019725	20.08155677
420	504.263549	32.9716195	10.2878091	19.0754641
430	488.15704	40.181541	12.2768131	17.96623632
440	470.460455	49.0162888	14.5427304	16.7264851
450	450.640178	60.053226	17.1148676	15.31477837
460	427.80383	74.2723304	20.0281931	13.66219728
470	400.190604	93.5932819	23.3267697	11.63518537
