Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
280	603.961836	2.97414634	0.919724479	22.92210812
290	593.320684	4.14297473	1.31064648	22.36477105
300	582.347269	5.63806614	1.81834934	21.78096332
310	570.98661	7.51989542	2.46354913	21.16575152
320	559.173287	9.85810503	3.26803092	20.51363273
330	546.827949	12.7346969	4.25452081	19.81828518
340	533.852378	16.2488786	5.44661986	19.07221903
350	520.122244	20.5245288	6.86881681	18.26627019
360	505.476061	25.722052	8.54660264	17.38883013
370	489.697487	32.0580651	10.506724	16.42461284
380	472.484963	39.8401377	12.7776435	15.35253399
390	453.394543	49.5332873	15.390341	14.1417258
400	431.717112	61.902509	18.3797461	12.7430707
410	406.159148	78.3747696	21.7875099	11.06768526
