Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
330	630.067567	2.69315624	0.825514943	28.51199112
340	620.346884	3.62724234	1.13372104	27.89633051
350	610.391913	4.79699854	1.52473009	27.25659654
360	600.16221	6.24328823	2.01233367	26.58878843
370	589.611183	8.01284826	2.61117942	25.88849318
380	578.684456	10.1600111	3.33673732	25.15073477
390	567.317572	12.7491858	4.20529989	24.36977031
400	555.432699	15.8584537	5.23402638	23.53880501
410	542.933755	19.584864	6.44104225	22.64958836
420	529.698948	24.052417	7.84560907	21.69181559
430	515.568955	29.4244779	9.46838367	20.65221716
440	500.327372	35.9238391	11.3317909	19.51311075
450	483.666719	43.8667898	13.4605385	18.24998464
460	465.125456	53.7249896	15.8823007	16.827125
470	443.960432	66.2486259	18.6285709	15.1889551
480	418.850839	82.7487831	21.7356115	13.24058795
