T (K)	rhol (kg/m3)	rhov (kg/m3) Psat (MPa)
390	385.9	83.6	2.727
380	415.4	65.5	2.285
370	438.7	51.7	1.899
360	458.2	41.13	1.564
350	475.7	32.83	1.275
340	491.7	26.12	1.027
330	506.5	20.66	0.817
320	520.4	16.19	0.64
310	533.7	12.54	0.493
300	546.4	9.58	0.372
290	558.5	7.195	0.276
280	570.3	5.298	0.199
270	582.2	3.81	0.14
260	593.3	2.67	0.0955
250	603.8	1.81	0.0629


