T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
380	0.4417	0.0009		0.0821	0.0002		38.39	0.06		10.99	0.02		0.593	0.002	
370	0.4728	0.0002		0.0626	0.0002		31.63	0.05		12.84	0.02		0.658	0.003	
360	0.4982	0.0001		0.0486	0.0001		25.84	0.04		14.34	0.01		0.712	0.003	
350	0.5200	0.0003		0.03808	0.00009		20.89	0.03		15.586	0.009		0.755	0.002	
340	0.5394	0.0007		0.02985	0.00005		16.68	0.02		16.65	0.02		0.792	0.002	
330	0.5569	0.0007		0.02329	0.00004		13.14	0.02		17.60	0.03		0.824	0.002	
320	0.5734	0.0008		0.01801	0.00003		10.19	0.02		18.46	0.04		0.852	0.002	
310	0.590	0.001		0.01375	0.00003		7.77	0.02		19.28	0.05		0.878	0.003	
300	0.605	0.001		0.01035	0.00002		5.80	0.01		20.04	0.04		0.901	0.003	
290	0.620	0.001		0.00765	0.00001		4.24	0.01		20.73	0.04		0.921	0.003	
