T (K) rhol (kg/m3) rhov (kg/m3) P (bar) DeltaHv (kJ/mol)
380.0	440.993699234	82.1915538198	38.3912814551	10.9554852479
370.0	472.675831148	62.7021279644	31.6357136443	12.8309796238
360.0	498.335271798	48.6435846568	25.8367638861	14.3407331959
350.0	520.089883004	38.1072021378	20.8815550803	15.5810563234
340.0	539.378763298	29.8820543972	16.6707324672	16.6465058129
330.0	556.602833596	23.312583901	13.1252866	17.5798195449
320.0	572.146447521	18.0196939902	10.1774386556	18.4104297421
310.0	587.557773699	13.7592493704	7.75778467768	19.2006466826
300.0	603.321006904	10.3505222545	5.79927005434	19.971642531
290.0	617.938415789	7.65284966259	4.23974618927	20.6726469233
