Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
500	471.23303	0	18.72869	17.18461
490	489.8632	0	16.2106	18.62047
480	507.06026	0	13.94521	19.90936
470	523.14729	0	11.91654	21.08464
460	538.3437	0	10.1092	22.16949
450	552.80632	0	8.50826	23.18082
440	566.65166	0	7.09918	24.13148
430	579.96901	0	5.86779	25.03149
420	592.82854	0	4.80016	25.88894
410	605.28652	0	3.88264	26.71042
400	617.38885	0	3.10183	27.50145
390	629.17357	0	2.44456	28.2667
380	640.6726	0	1.89797	29.01021
370	651.91301	0	1.44953	29.73548
