Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
380	440.99907	0	37.83668	10.38806
370	470.38694	0	31.38995	12.04576
360	495.195	0	25.82693	13.42443
350	517.09367	0	21.04308	14.62054
340	536.94546	0	16.95132	15.68432
330	555.26199	0	13.47731	16.64583
320	572.3751	0	10.55573	17.52478
310	588.51397	0	8.12749	18.33493
300	603.84445	0	6.13775	19.0864
290	618.49096	0	4.53449	19.7869
