Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
450	443.01702	0	34.524	12.14276
440	470.86662	0	29.47018	14.00746
430	494.38722	0	24.98379	15.56141
420	515.13324	0	21.02112	16.90975
410	533.91725	0	17.54093	18.10806
400	551.22478	0	14.50414	19.18998
390	567.37226	0	11.87349	20.17775
380	582.57899	0	9.6133	21.08706
370	597.00403	0	7.68926	21.92949
360	610.76699	0	6.0683	22.71397
350	623.96034	0	4.71854	23.44756
340	636.65729	0	3.60924	24.136
330	648.9169	0	2.71092	24.78405
